folder_name,proj_count,total_count
datum,17542,43961
test,15205,77424
model,13611,29719
image,11838,35812
src,10807,50562
util,10757,30312
doc,10263,16983
template,8339,18855
script,7248,15357
static,6777,12031
example,6751,19120
cs,6172,17565
dataset,6161,10835
notebook,6015,8005
__pycache__,5891,163302
img,5856,12960
asset,5503,16639
config,5191,12504
j,5124,13284
lib,3963,34115
app,3687,9633
font,3394,10586
tool,3173,6450
source,3164,5390
resource,3123,10300
apus,3098,7696
core,2968,7214
bin,2830,9142
component,2624,5151
_static,2606,3084
result,2565,5217
common,2518,6355
figure,2388,3294
migration,2349,7416
log,2300,7475
public,2227,4313
train,2168,7187
module,2147,4091
main,2126,10821
docker,2098,3041
python,1935,9401
output,1899,4160
metric,1833,9450
demo,1801,3579
include,1768,7951
backend,1760,4064
build,1742,4608
experiment,1698,2587
preprocessing,1694,2549
plugin,1659,5337
sample,1630,2870
tutorial,1603,2417
training,1532,3763
service,1509,3992
code,1509,4645
tensorflow,1507,5185
server,1497,3083
java,1489,16171
view,1487,4039
project,1486,2553
evaluation,1467,2201
base,1464,3770
misc,1446,2431
io,1436,7537
vendor,1425,3324
command,1412,4411
layout,1398,3857
report,1375,1903
style,1343,2575
feature,1341,1946
wrapper,1341,3825
input,1325,2295
plot,1321,2014
helper,1285,2949
layer,1284,2816
variable,1281,8144
client,1244,4592
frontend,1241,2166
testing,1237,3332
html,1234,2081
cli,1216,2687
test_datum,1195,2136
visualization,1165,1520
benchmark,1154,2236
classification,1152,1970
ml,1152,3859
raw,1149,1619
network,1141,1544
contrib,1108,2640
package,1108,2227
file,1107,7281
env,1105,1816
icon,1103,2477
utility,1102,1932
page,1085,1882
task,1083,3974
controller,1080,2272
filter,1078,2269
pipeline,1077,2412
dist,1077,8489